id_director,name_director,id_film
2034,Danny Boyle,9905
101444,Scott McGehee,87078
72646,Tomás Gutiérrez Alea,12527
57028,George Huang,20306
91499,Kevin Dowling,36614
64030,Kelly Makin,27993
607,Zhang Yimou,31439
56891,Rachel Talalay,9067
15521,Ernest R. Dickerson,9059
2380,David Carson,193
141825,Rusty Cundieff,25066
58080,Brian Gilbert,46797
11770,John Carpenter,12122
13426,Peter Segal,11381
15389,Louis Malle,32636
1884,Steven Soderbergh,36141
76705,Preston A. Whitmore II,95963
5306,Lasse Hallström,1587
57090,Brett Leonard,9271
12962,Jon Turteltaub,2064
18250,Jon Avnet,19855
1230367,Mina Shum,60855
3045,P.J. Hogan,236
83313,Melanie Mayron,48287
4499,Tom Shadyac,3049
27889,Stephan Elliott,2759
1978,Iain Softley,12635
3556,Roman Polanski,10497
1243,Woody Allen,11382
13015,Phillip Noyce,9331
5572,Joel Schumacher,10731
16853,Jessie Nelson,10464
5281,Spike Lee,34152
21085,Alex Proyas,9495
4037,Ron Shelton,29973
13581,Brian Levant,888
24,Robert Zemeckis,13
10723,Mike Newell,712
6482,John Singleton,16295
81727,Darnell Martin,48992
56106,Charles Shyer,10879
41550,Andrew Bergman,10660
7775,Stephen Sommers,10714
226963,Ray Müller,41647
15812,Roger Allers,8587
4956,Bernardo Bertolucci,1689
5140,Wes Craven,11596
26713,Chuck Russell,854
7187,Richard Donner,9359
72427,Alan Rudolph,23333
13426,Peter Segal,36593
6159,Ron Howard,12280
7399,Ben Stiller,2788
21053,John Dahl,10427
18281,Donald Petrie,11011
83588,Robert Allan Ackerman,49803
323,Curtis Hanson,8987
2209,Jan de Bont,1637
33485,Ron Underwood,15128
37710,Peter Hyams,8831
2710,James Cameron,36955
46085,Luis Mandoki,10449
5342,Mike Nichols,10395
8844,Lawrence Kasdan,12160
42301,Damian Harris,40480
158634,Suri Krishnamma,52038
72125,Jefery Levy,29444
35689,Keenen Ivory Wayans,26352
133183,Robert Lee King,39953
234793,Yves Angelo,41580
4590,Russ Meyer,315
67896,Doug McHenry,22067
80537,Dave Borthwick,18242
1726,Steven E. de Souza,11667
486,Wallace Wolodarsky,32502
126837,Michael A. Nickles,267188
1142481,Paul Warner,28732
532207,Vincent Robert,75555
129216,Theodore Thomas,42981
1382436,Lucas Platt,278939
1385254,Ross Kagan Marks,291731
220152,Paul Williams,226229
4040,Robert Wuhl,203119
16401,Roberto Sneider,172923
223910,Jack Baxter,316098
53599,Andrew Morahan,8011
77076,Michael Corrente,171857
11770,John Carpenter,2654
16513,John G. Avildsen,18069
88060,Jeff Pollack,19092
5174,Barry Sonnenfeld,2758
15106,Thomas Schlamme,38129
1032,Martin Scorsese,10436
7145,Michael Lehmann,13595
12988,Paul Michael Glaser,46094
12840,John Badham,9409
42171,Jonathan Kaplan,11853
78188,Whit Stillman,16771
68687,Bill Forsyth,46924
58448,Penelope Spheeris,11041
4610,John Landis,306
1901,Caroline Thompson,14522
10781,Michael Apted,26203
2042,Stephen Hopkins,178
15175,William Friedkin,19819
32765,Tony Richardson,57834
39104,Abel Ferrara,4722
14800,Jennifer Chambers Lynch,18215
380,Robert De Niro,1607
57107,Adam Resnick,26391
61175,John Whitesell,117553
1150,Brian De Palma,6075
66548,Paul Weiland,11310
8843,Mick Jackson,18658
16938,Renny Harlin,9350
18308,Steve Barron,9612
21806,Richard Rush,2124
12964,Michael Ritchie,26261
27236,Gregg Champion,19176
39104,Abel Ferrara,49299
8858,Ivan Reitman,11566
564,Richard Linklater,9571
57027,Louis D'Esposito,9739
86,Bruce Brown,24257
5216,Gus Van Sant,34444
1895,Carl Reiner,26141
20640,Chen Kaige,10997
18281,Donald Petrie,50463
2690,Peter Weir,10443
141825,Rusty Cundieff,20239
50949,Alek Keshishian,16297
10967,Steve Kloves,18551
17784,John Irvin,25440
5174,Barry Sonnenfeld,9024
2226,Sydney Pollack,37233
18254,Simon Wincer,1634
52358,Boaz Yakin,13815
12989,Andrew Davis,5503
1723,Walter Hill,35588
21370,Roger Donaldson,2087
26502,Howard Deutch,41579
172993,Rose Troche,18620
5696,Bruce Beresford,41006
39996,Sidney Lumet,4916
11401,John Woo,2019
1152,Oliver Stone,31642
12936,Jim Abrahams,9255
94996,Julianna Lavin,26271
65859,Christopher Monger,10612
19684,Bille August,2259
77733,Eric Meza,16097
1223,Joel Coen,11934
3388,James L. Brooks,106143
774,"Daniel Petrie, Jr.",12475
5231,Wolfgang Petersen,9386
40749,Jean Bourne,7984
230059,Matty Rich,59930
18069,Brian Gibson,15765
8246,Barry Levinson,31643
2042,Stephen Hopkins,6
488,Steven Spielberg,329
58498,Dominic Sena,10909
8297,Roger Avary,507
1884,Steven Soderbergh,34024
40549,Daniel Petrie,29918
1090,John McTiernan,9593
90037,James Lapine,42580
18254,Simon Wincer,22317
224,David Cronenberg,1413
24318,Richard Benjamin,12121
23213,Harold Becker,2246
2461,Mel Gibson,10502
1243,Woody Allen,10440
11447,Albert Hughes,9516
2523,Stuart Baird,2320
46230,Nagisa Ōshima,5879
119232,Tom Noonan,83718
11181,Kenneth Branagh,11971
6111,Mike Figgis,2625
2239,Anthony Minghella,31911
10965,Chris Columbus,788
65452,Mike Leigh,21450
56828,Christopher Cain,11231
16939,Michael Tolkin,41588
10702,Martin Campbell,10447
3026,Rob Reiner,31586
57206,Sally Potter,9300
190,Clint Eastwood,9559
16294,Jonathan Demme,9800
10757,Jane Campion,713
6482,John Singleton,8291
12920,David S. Ward,18133
29482,Stuart Orme,25557
141450,Mel Smith,22588
34849,Ted Demme,10872
54441,James Ivory,1245
14911,Penny Marshall,11858
648,Philip Kaufman,7007
9168,Alan Parker,10467
44056,Fred Dekker,5550
14639,Mel Brooks,8005
21377,Peter Medak,2088
65026,Geoffrey Wright,10412
138322,Victor Nunez,47889
44847,David Anspaugh,14534
15858,Tim Hunter,56583
127283,Cyril Collard,41878
488,Steven Spielberg,424
12964,Michael Ritchie,35233
2260,Steven Zaillian,14291
8969,Chris Menges,103413
1128,Agnieszka Holland,11236
10367,John Waters,11592
52968,Russell Mulcahy,8850
4786,Richard Attenborough,10445
9789,Robert Altman,695
33405,Gillies MacKinnon,43535
72624,John Duigan,12519
64061,Fred Schepisi,23210
9248,Nora Ephron,858
13015,Phillip Noyce,867
578,Ridley Scott,78
54590,Steve Rash,13203
15106,Thomas Schlamme,10442
63943,Rowdy Herrington,11074
111687,Arthur Joffé,33367
58164,Annabel Jankel,9607
15521,Ernest R. Dickerson,17585
45645,Deran Sarafian,9057
78012,François Girard,20967
41549,Andrew Fleming,10635
57646,Henry Selick,9479
18356,Stephen Herek,10057
16566,George P. Cosmatos,11969
53387,Heywood Gould,41590
893,Tony Scott,319
21113,D.A. Pennebaker,26408
4945,Joe Johnston,15139
1212571,Jerry Ciccoritti,161158
70241,Jennifer Warren,218473
85547,Mark Malone,85247
66605,Todd Solondz,11446
20718,Claude Berri,51980
2778,Dennis Hopper,24405
10828,Guillermo del Toro,11655
69696,Daniel Algrant,11800
309,Pedro Almodóvar,8223
6220,Gurinder Chadha,14587
3030,Andrew Scheinman,31504
91565,Åke Sandgren,41653
33315,Richard Loncraine,53185
1006705,Eva Sereny,95743
26265,Lina Wertmüller,23637
17883,David O. Russell,17600
58448,Penelope Spheeris,10897
1354907,Rémy Duchemin,349394
1174031,George T. Miller,21352
105114,Ricky Tognazzi,68806
67756,Michael Austin,37345
109402,Rob Epstein,32562
2406,Mathieu Kassovitz,47507
69488,Nanni Moretti,25403
1066960,María Luisa Bemberg,124304
31024,Betty Thomas,9066
10965,Chris Columbus,771
3415,Jerry Zucker,251
15810,Ron Clements,812
2710,James Cameron,280
1269,Kevin Costner,581
589306,Steve Cohen,80350
510,Tim Burton,268
16294,Jonathan Demme,274
5446,David Hand,408
62047,Gary Trousdale,10020
11429,Hamilton Luske,10895
1201,Garry Marshall,114
125340,Yuri Mamin,41043
7767,Sam Peckinpah,576
78258,C.M. Talkington,15477
134026,Huang Jianxin,59146
1080040,Jean Bach,124472
54967,Sam Weisman,30528
52405,Michael Hoffman,7300
15557,Bill Condon,10824
116607,Stephen Poliakoff,261246
1223,Joel Coen,275
4755,David R. Ellis,25059
70616,Gerald Potterton,11827
176246,Kevin Yagher,8766
32278,Matt Reeves,23570
24657,Franco Zeffirelli,47333
75474,Anna Campion,54850
49552,Franco Brusati,51242
57314,Wolfgang Reitherman,10112
309,Pedro Almodóvar,4307
37526,Fernando Trueba,46029
116103,Bill Couturié,32308
6818,Werner Herzog,88893
96627,André Téchiné,52873
54767,Mika Kaurismäki,340210
1044284,Férid Boughedir,44281
78029,Martin Lawrence,28121
72619,Stacy Title,12520
17812,Gregory Hoblit,1592
173004,Clément Virgo,166901
69719,Bruno Barreto,36447
71852,Paul Sabella,19042
15488,Ken Loach,38884
974388,Hal Salwen,47449
70835,Jonathan R. Betuel,36259
73496,Richard Pearce,41852
230320,Todd Verow,40926
21217,Jonathan Lynn,9099
20773,Tim Sullivan,2021
5281,Spike Lee,61752
34682,Jeremiah S. Chechik,10988
69537,Hervé Palud,11479
43440,Martin Enlen,398959
68998,Carlo Rola,287305
20789,Claude Sautet,12652
9181,Edward Zwick,10684
1150,Brian De Palma,954
6759,Friðrik Þór Friðriksson,68445
2182,Pen Densham,18989
1869,Sönke Wortmann,10801
105617,Park Chul-soo,54285
18878,Rob Cohen,8840
14614,Joseph Vilsmaier,278978
26595,Michael Verhoeven,124625
54590,Steve Rash,11107
80526,Gray Hofmeyr,16417
559920,Richard Wherrett,70934
9740,René Clément,10363
4173,Anthony Hopkins,161070
57646,Henry Selick,10539
15890,James Foley,10543
64030,Kelly Makin,18414
47773,Paul Mazursky,47502
15254,Emir Kusturica,11902
96934,Bo Widerberg,27098
115983,Alan Mehrez,25087
12160,Satyajit Ray,5801
12160,Satyajit Ray,896
30021,Jim Mallon,3065
23677,Joe Pytka,2300
53767,Roger Vadim,8069
98940,Catherine Cyran,288173
98094,Brett Piper,187851
37852,George Hickenlooper,27768
12804,Peter Yates,221917
3776,Jean-Luc Godard,8072
20556,Bertrand Tavernier,35797
54767,Mika Kaurismäki,88030
19069,Claude Chabrol,185191
3097,Gordon Willis,83857
8876,Randal Kleiser,33245
1080036,Michael Blakemore,124460
18254,Simon Wincer,27281
39298,Margarethe von Trotta,105045
24318,Richard Benjamin,40001
104404,Norberto Barba,29621
585248,Eli Cohen,117730
43786,Robert Mandel,20762
1046169,Pat Verducci,37144
172,Michael Winterbottom,48260
73838,Steven Baigelman,12656
42113,Zalman King,38867
1661328,Barry Caillier,277270
56059,Patrick Read Johnson,25969
81964,Stijn Coninx,44103
11147,John Cassavetes,753
129708,Stacy Cochran,43634
15111,Jean-Claude Van Damme,9103
59438,Mark Joffe,90214
104507,Steve Gomer,29649
7256,Lee Tamahori,10990
7145,Michael Lehmann,8866
71792,George Scribner,12233
1175207,Tom DeCerchio,23449
129941,Alan Shapiro,36355
1016352,Angela Pope,37667
1585647,Betty Kaplan,90148
4429,Jim Jarmusch,922
25950,Jean-Paul Rappeneau,11876
31310,Jack Hill ,52633
108499,Manuel Gómez Pereira,62364
64909,Jean-Marie Poiré,11687
1524,Harold Ramis,9304
940684,Brett Thompson,73183
1093108,Francesco Sframeli,131232
41549,Andrew Fleming,9100
68215,Reginald Hudlin,20759
5696,Bruce Beresford,46063
19304,John Schlesinger,32513
124237,Stephen Quay,40651
18500,Phil Joanou,36915
19266,Larry Cohen,40507
865,Michael Bay,9802
29706,Harvey Miller,25697
87680,Michele Soavi,21588
2209,Jan de Bont,664
70792,David Hogan,11867
16988,Maurice Pialat,47119
564791,Gabriel Barylli,314352
12180,Mamoru Oshii,9323
64796,Tom Holland,10280
65548,Rick Friedberg,10535
145304,Udayan Prasad,124613
7314,Nick Park,532
81976,Abraham Polonsky,26744
4610,John Landis,16299
28239,David Twohy,10547
93906,Robert Z. Leonard,245268
240,Stanley Kubrick,935
97579,Guy Maddin,55613
153908,John O'Brien,215107
17784,John Irvin,41007
114468,Kevin James Dobson,35645
14860,Victor Saville,110465
1090082,Helena Solberg,255546
12453,Wong Kar-wai,40751
1209349,Ebrahim Forouzesh,275096
223825,Freida Lee Mock,85778
14614,Joseph Vilsmaier,11101
18254,Simon Wincer,9826
41550,Andrew Bergman,9879
229695,David Keating,63564
366,James Mangold,22621
1776,Francis Ford Coppola,7095
16378,Mary Harron,26890
122728,Charles Matthau,46732
1009298,Goran Paskaljević,124633
1184422,Mwezé Ngangura,202425
1177451,Jean-Pierre Bekolo,196940
1079380,Djibril Diop Mambéty,77771
1153142,Gaston Kaboré,181083
4415,Federico Fellini,41225
117075,Henry Jaglom,188589
21415,Robby Henson,87190
2034,Danny Boyle,627
1214396,Scott Winant,32872
6046,Roland Emmerich,602
4956,Bernardo Bertolucci,14553
893,Tony Scott,9566
62047,Gary Trousdale,10545
7399,Ben Stiller,9894
7395,Bobby Farrelly,11543
26713,Chuck Russell,9268
240366,Carma Hinton,52059
4499,Tom Shadyac,9327
1066960,María Luisa Bemberg,123763
592762,Lucian Pintilie,81949
544331,Gazdag Gyula,42005
41521,Gérard Mordillat,124306
262130,Mel Chionglo,183955
3111,Alexandre Rockwell,44535
1144694,Christopher Larkin,44495
138795,Laurent Heynemann  ,78285
18878,Rob Cohen,11228
108,Peter Jackson,10779
102445,John Sayles,26748
18320,Bronwen Hughes,38223
12962,Jon Turteltaub,9294
56539,Nicole Holofcener,49963
12833,Edward Burns,11363
5572,Joel Schumacher,1645
77076,Michael Corrente,31546
28615,Éric Rohmer,77056
6387,Anthony Brand,36344
40230,Kevin Hooks,18550
12988,Paul Michael Glaser,11511
1059880,Ildikó Enyedi,172198
2357,Howard Franklin,34170
30869,Mitch Marcus,281085
1046588,Jaime Hellman,109478
14132,Nicolas Roeg,124645
15042,Arlene Sanford,12606
225140,Maurizio Nichetti,69895
793,Luis Buñuel,35206
87397,Paul Turner,151489
28615,Éric Rohmer,4837
56201,Peter Sehr,12632
48685,Rolf Silber,9098
6258,Peter Weck,282919
81749,Manoel de Oliveira,124614
18308,Steve Barron,18975
71110,John Payson,11962
28904,Hugh Wilson,2925
179609,Nigel Finch,28628
6159,Ron Howard,3595
7678,Hart Bochner,9308
183036,Doug Ellin,92381
119310,Annette Haywood-Carter,18555
12989,Andrew Davis,12123
518,Danny DeVito,10830
40749,Jean Bourne,3573
65602,Tim Pope,10546
92554,Harry Winer,18862
37302,Georges Franju,31417
10953,Gilbert Adler,9431
1080308,John Rubino,124619
1189125,Yin Li,297645
146295,Yim Ho,48144
91343,Hal Hartley,46986
117808,Marcus DeLeon,144982
1232954,Lee David Zlotoff,47907
11770,John Carpenter,10061
107730,Tran Anh Hung,36266
7482,Julian Schnabel,549
4037,Ron Shelton,10478
112674,Rolf de Heer,66634
587603,Keisuke Kinoshita,116690
24485,Nicole Garcia,213917
252740,Leone Pompucci,145925
1112331,Zheng Jun-Li,100914
1776,Francis Ford Coppola,238
1869,Sönke Wortmann,159
44916,Stanley Tong,11134
124092,Lisa Krueger,88224
125690,Mikio Naruse,132641
33405,Gillies MacKinnon,42758
9340,Lana Wachowski,9303
133259,Arthur Hiller,23945
1155073,John Ruane,37820
9789,Robert Altman,22479
56828,Christopher Cain,9054
1276348,Peter Shaner,241058
71174,Tsai Ming-liang,11985
64219,Daniel Schmid,10232
69042,Tim Metcalfe,59569
232119,Izidore K. Musallam,410921
44916,Stanley Tong,38955
205639,Jim McKay,110513
118513,Karim Dridi,114089
37710,Peter Hyams,11015
13776,John Frankenheimer,9306
69741,David M. Evans,12559
508,David Koepp,58770
17046,Gary Winick,124851
13563,Norman Jewison,3587
15521,Ernest R. Dickerson,10723
6361,Nick Hamm,56077
24346,Roy Allen Smith,19004
28889,Theo van Gogh,101230
55116,Joe Chappelle,10987
98750,Trevor Nunn,44705
33054,Keith Gordon,20318
14353,Max Ophüls,43596
587971,Jan Jakub Kolski,79782
96627,André Téchiné,26933
10790,Sam Wood,27854
14674,George Cukor,981
13284,Stanley Donen,872
13980,Vincente Minnelli,2769
13284,Stanley Donen,13320
1927,Blake Edwards,164
2636,Alfred Hitchcock,426
2636,Alfred Hitchcock,567
2662,Frank Capra,3078
14674,George Cukor,13528
30165,Mark Sandrich,28288
2636,Alfred Hitchcock,213
3146,Billy Wilder,284
3146,Billy Wilder,239
13284,Stanley Donen,4808
4109,Michael Curtiz,289
6593,John Huston,963
14674,George Cukor,11113
3146,Billy Wilder,6620
10001,William Wyler,804
80570,Walter Lang,26531
13980,Vincente Minnelli,909
9049,Victor Fleming,630
9049,Victor Fleming,770
24318,Richard Benjamin,31044
3146,Billy Wilder,599
40,Orson Welles,15
240,Stanley Kubrick,62
108914,Mitchell Leisen,121357
10601,Joseph L. Mankiewicz,705
14674,George Cukor,22490
2636,Alfred Hitchcock,223
2636,Alfred Hitchcock,25670
2636,Alfred Hitchcock,303
2636,Alfred Hitchcock,4174
30008,Leo McCarey,8356
2636,Alfred Hitchcock,381
13980,Vincente Minnelli,20758
13980,Vincente Minnelli,29376
2428,Ernst Lubitsch,1859
3146,Billy Wilder,18299
13980,Vincente Minnelli,17281
13980,Vincente Minnelli,64382
4109,Michael Curtiz,10907
29595,Rouben Mamoulian,32093
834,Otto Preminger,1939
10601,Joseph L. Mankiewicz,22292
2662,Frank Capra,3598
30165,Mark Sandrich,3080
2428,Ernst Lubitsch,198
74659,Gregory La Cava,13562
18738,George Stevens,1712
2746,Elia Kazan,220
32427,W.S. Van Dyke,3529
11435,Howard Hawks,3085
20412,Michael Anderson,2897
2662,Frank Capra,1585
2662,Frank Capra,3083
11435,Howard Hawks,900
18738,George Stevens,43795
8741,Victor Sjöström,85638
14643,William A. Wellman,50001
31497,John Cromwell,43905
81165,Archie Mayo,22688
31497,John Cromwell,23114
95293,Busby Berkeley,26378
33064,Henry Koster,40206
50302,James Edward Grant,22356
2636,Alfred Hitchcock,260
2000,Lewis Milestone,43488
11435,Howard Hawks,22613
14999,George A. Romero,10331
6593,John Huston,488
6593,John Huston,22733
3632,Richard Brooks,261
3632,Richard Brooks,57575
2662,Frank Capra,32574
31497,John Cromwell,22657
148849,Victor Schertzinger,76464
14855,Frank Borzage,22649
78053,Edwin L. Marin,176841
40749,Jean Bourne,125587
35452,Corey Yuen Kwai,39448
16730,Darrell James Roodt,52855
86051,Joshua Logan,39940
1063201,Chris Newby,172868
76462,Richard Schenkman,85328
1468019,Allan Miller,124632
68212,Carroll Ballard,11076
549024,Lance Young,63945
3110,Allison Anders,58985
14614,Joseph Vilsmaier,890
26767,Ringo Lam,10861
17016,Neil Jordan,1770
21371,Amy Holden Jones,44465
4756,Matthew Broderick,2033
2283,Stanley Tucci,18203
1723,Walter Hill,9333
86293,Robert M. Young,47260
37932,F. Gary Gray,9400
27846,John Herzfeld,9401
71825,Reb Braddock,12241
584483,René Gainville,25739
1217874,John Walsh,161806
